,nama,brand,harga,terjual,gambar
97,"13"" Apple MacBook Air 512gb SSD 8gb 2.7Ghz i5 TURBO - Monterey - 3 Year WARRANTY",Pre-Owned,"IDR4,305,875.00",Only 1 left!,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
98,Apple MacBook Pro A2141 i7-9750H 2019 16GB/512GB Sonoma - Cosmetic (READ),Pre-Owned,"IDR3,989,833.75",Only 3 left,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
99,New ListingLG Gram 14T90Q INTEL CORE I7-1260P@2.10GHz 8GB RAM NO DRIVE PARTS 8325,Parts Only,"IDR2,660,000.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
100,"Alienware - 16 Aurora - 16"" 2.5K Gaming Laptop - Intel Core 7 240H 2024 - 32G...",Brand New,"IDR24,937,333.75",301 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
101,"HP ChromeBook 14 G5 14"" Touchscreen HD Laptop AMD A4 8GB RAM 32GB SSD Chrome OS",Very Good - Refurbished,"IDR1,575,218.75",458 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
102,"Dell Latitude 3330 13"" FHD Laptop 4-Core i5 4.5GHz 8GB RAM 256GB SSD Win 11 Pro",Good - Refurbished,"IDR3,508,540.00",166 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
103,"HP ProBook 640 G8 14"" 32GB 512GB SSD Intel I7-1185G7 3.0GHz Win11P, Silver",Very Good - Refurbished,"IDR4,638,375.00",Only 1 left!,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
104,Business 17 Inch Windows 11 Laptop With 128GB / 256GB / 512GB SSD Intel Celeron,Brand New,"IDR3,308,208.75 to IDR3,790,500.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
105,Lot of 5 HP EliteBook- x360 1030 G2 Touch 13.3- i7-7500U-16GB-RAM 256GB SSD,Pre-Owned,"IDR13,300,000.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
106,"HP - OmniBook X Flip 2-in-1 - Copilot+ PC - 16"" 2K Touch-Screen Laptop - AMD ...",Brand New,"IDR14,131,083.75","1,829 sold",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
107,"Acer Chromebook Plus 514 - 14"" AMD Ryzen 3 7320C 8GB RAM 256GB SSD Refurbished",Certified - Refurbished,"IDR3,324,833.75",350 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
108,New ListingLenovo Legion Go 2 - AMD Ryzen Z2 - 32GB RAM - 1TB W/ 4 GAMES - 8.8 OLED—SEALED!,Brand New,"IDR28,262,333.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
109,"HP - 14"" Laptop - Intel Processor N150 - 4GB Memory - 128GB UFS - Natural Silver",Brand New,"IDR2,327,333.75","3,922 sold",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
110,"Lenovo ThinkPad T480s 14"" Intel i7-8650U 1.90GHz 16GB RAM 256GB SSD Great Shape!",Pre-Owned,"IDR3,324,833.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
111,"Lenovo - Yoga 7i 2-in-1 16"" 2K Touchscreen Laptop - Intel Core Ultra 7 155U 2...",Brand New,"IDR10,806,083.75","2,975 sold",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
112,"Acer Aspire 14 AI Laptop 14"" Touchscreen Intel Core Ultra 5 16GB 1TB Refurbished",Very Good - Refurbished,"IDR5,627,728.75",Only 1 left!,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
113,"14"" DELL Latitude Laptop: Intel i5! 4GB RAM! 128GB SSD! Zorin Core Edition!",Good - Refurbished,"IDR1,660,671.25",Only 2 left,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
114,"New ListingApple MacBook Pro 15.4"" Intel Core i7 2.6GHz 16GB RAM 512GB SSD A1990",Pre-Owned,"IDR3,308,375.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
115,"HP OmniBook X Laptop Computer 16"" 3K Touch Screen Intel Core Ultra 7 16 GB",Brand New,"IDR14,962,333.75",51 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
116,"2025 ASUS Vivobook 14"" FHD Laptop, 6-Core Intel i3 Up to 40GB RAM 2TB SSD WinPro",Brand New,"IDR4,970,875.00 to IDR9,127,125.00",18 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
117,Acer Swift 14 +AI | AMD Ryzen AI 9 | AMD Radeon 880M | 32GB 1TB Certified Refurb,Certified - Refurbished,"IDR10,998,435.00",72 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
118,"Lenovo - LOQ 15.6"" Full HD Gaming Laptop - Intel Core i7-13650HX 2023 - 16GB ...",Brand New,"IDR21,612,333.75",433 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
119,MacBook Pro 16 Touch Bar Gray 2019 2.4 GHz i9 64GB 512GB Radeon Pro 5300M 4GB,Very Good - Refurbished,"IDR7,813,583.75",15 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
120,LENOVO THINKPAD P70 17” i7 6700HQ 2.6GHz 32GB RAM 1TB+256GB NVIDIA Quadro M600M,Pre-Owned,"IDR4,305,875.00",Only 1 left!,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
121,"New ListingLenovo Legion Go 8.8"" Laptop AMD Ryzen Z1 Extreme, 500GB SSD, 1TB Ssd W/ Dock",Open Box,"IDR8,312,500.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
122,Dell Latitude E6420 XFR Core i7 CPU 500GB SSD 16GB RAM WIN10 BLUE with CARBON,Pre-Owned,"IDR7,388,815.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
123,"HP ZBOOK 15 G6 15.5"" Intel Core i7-9850H 2.60GHz 32GB RAM 512GB NVMe",Pre-Owned,"IDR4,156,083.75",Only 1 left!,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
124,Shop on eBay,,$479.99,,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
125,Shop on eBay,,$479.99,,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
126,DELL Latitude Touchscreen Laptop: Intel i7 32GB RAM ~ 512GB SSD! Windows 11 Pro!,Good - Refurbished,"IDR5,818,750.00",24 sold,https://i.ebayimg.com/thumbs/images/g/iIkAAeSwgIdpLbyO/s-l960.webp
127,"Dell Latitude 5520 15.6"", 16GB 512GB SSD, i7-1185G7 4.4GHz, Windows 11 Pro",Very Good - Refurbished,"IDR6,101,375.00",50 sold,https://i.ebayimg.com/thumbs/images/g/1AEAAeSwt81oh5v1/s-l960.webp
128,"Dell Latitude 3390 Touchscreen Laptop 13.3"" Core i3 8GB RAM 256GB SSD Win 11 Pro",Good - Refurbished,"IDR2,968,227.50","2,413 sold",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
129,Lenovo ThinkPad T480 Business Laptop 14” FHD Core i5 16GB RAM 512GB SSD Win 11,Good - Refurbished,"IDR3,961,238.75",331 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
130,"Asus Touch Chromebook Flip 14"" i3 1.80GHz/8GB/128GB SSD - CX5400FM w/Warranty",Very Good - Refurbished,"IDR2,327,333.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
131,"Asus Touch Chromebook Flip 14"" i3 1.80GHz/8GB/128GB SSD CX5400FM - w/Warranty",Good - Refurbished,"IDR2,027,252.50",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
132,Lenovo ThinkPad T14 Touchscreen Laptop Intel Core i7 4.90 GHz 48GB RAM 4TB SSD,Very Good - Refurbished,"IDR5,486,083.75 to IDR11,554,375.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
133,Lenovo Legion Slim 5 Gen 8 14 120Hz QHD+ 3.8GHz Ryzen 7 7840HS 16GB 1TB RTX 4060,Excellent - Refurbished,"IDR14,629,833.75",Only 1 left!,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
134,"ASUS - Vivobook 14 14"" FHD Laptop - Intel Core 5 120U with 8GB Memory - 256GB...",Brand New,"IDR5,486,083.75",58 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
135,"HP OmniBook X AI 14-fe0013dx 14"" Touch Elite X1E-78-100 16GB 1TB SSD W11 Laptop",Very Good - Refurbished,"IDR6,982,500.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
136,"Apple Macbook Pro 15"" - i7 16GB RAM + 512GB SSD - Great Value + Holiday Gift",Pre-Owned,"IDR3,640,875.00 to IDR3,973,375.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
137,"ASUS - Zenbook A14 14"" FHD+ OLED  Snapdragon X Plus 16GB RAM 512GB SSD",Pre-Owned,"IDR7,065,458.75",Only 1 left!,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
138,Acer Nitro V15 Gaming Notebook GeForceRTX4050 Inteli5 16GB 512GB SSD Refurbished,Certified - Refurbished,"IDR9,077,083.75",Only 3 left,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
139,Dell Latitude Light Gaming Laptop Core i7 4.20GHz Windows 11 64GB RAM 4TB SSD,Very Good - Refurbished,"IDR4,987,333.75 to IDR13,965,000.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
140,New ListingLenovo YOGA 7 2 IN 1 14IML9 Laptop ULTRA 5 125U 16GB RAM Does Not Power,Parts Only,"IDR3,158,583.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
141,"Dell Latitude 14"" Light Gaming Laptop 32GB RAM 1TB SSD Intel Core i7 Windows 11",Very Good - Refurbished,"IDR7,314,833.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
142,"Lenovo YOGA Book 9i 2-in-1 13.3"" Dual Screen Laptop (Ultra 7 155U/16GB/1TB/OLED)",Open Box,"IDR14,962,333.75",Only 2 left,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
143,"SGIN 15.6"" Windows 11 Laptop 12GB RAM 1TB SSD Intel Celeron Portable Business PC",Brand New,"IDR3,308,208.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
144,New ListingNew Dell Latitude 5440 14” FHD Touch – i5-1335U / 16GB / 256GB SSD / Win 11 / 6E,Brand New,"IDR6,649,833.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
145,"New ListingHP Pavilion 16-af0010nr 16"" Laptop, Intel Core Ultra 5 125U, 8GB, 512GB, Silver",Open Box,"IDR5,818,583.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
146,"ASUS VivoBook 16"" WUXGA Notebook Intel Core i7-13620H 16GB DDR4 RAM 512GB SSD",Brand New,"IDR7,813,583.75","7,564 sold",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
147,"Lenovo Legion Go 2 8.8"" 144Hz OLED AMD Ryzen Z2 Extreme 32GB 1TB SHIPS TODAY",Open Box,"IDR34,912,333.75",Only 1 left!,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
148,"2021 Apple M1 Pro MacBook Pro 14"" 16GB/512GB SSD (Space Gray) A2442 - w/Warranty",Very Good - Refurbished,"IDR10,892,700.00",51 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
149,"HP Victus 15.6"" FHD Gaming Laptop RTX 4050 AMD Ryzen 7 7445HS 16GB RAM 512GB SSD",Brand New,"IDR11,104,668.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
150,LG Gram 15 Ultra-Light Laptop Intel Core Ultra 7 16GB 1TB SSD W11,Excellent - Refurbished,"IDR11,055,458.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
151,2025 Apple MacBook Air 13-inch M4 Chip 16GB RAM 512GB SSD Midnight MW133LL/A,Open Box,"IDR14,945,875.00",161 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
152,"New ListingHP ZBOOK 17 G6 17"" Intel Core i7-9750H 2.60GHz 32GB RAM 512GB SSD WINDOWS 11",Pre-Owned,"IDR3,740,625.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
153,Lenovo Legion Pro 5 Gen 10 WQXGA Ryzen 9 8945HX RTX5070 32GB 1TB Gaming Laptop,Certified - Refurbished,"IDR22,759,625.00",Only 1 left!,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
154,Dell Latitude 7310 Laptop 13.3” FHD Core i7 16GB RAM 512GB SSD Windows 11 Pro,Good - Refurbished,"IDR5,108,031.25",348 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
155,DELL Latitude Laptop Computer PC 14 Core i5 32GB 1TB SSD Windows 11 TOUCHSCREEN!,Pre-Owned,"IDR3,158,583.75 to IDR5,486,083.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
156,"HP ZBOOK 17 G6 17"" Intel Core i7-9850H 2.60GHz 32GB RAM 512GB NVMe",Pre-Owned,"IDR4,987,333.75",Only 1 left!,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
157,HP EliteBook Laptop Computer 14” HD AMD Ryzen 5 16GB RAM 256GB SSD Win 11 WiFi,Good - Refurbished,"IDR3,229,738.75",406 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
158,2025 Apple MacBook Air 15-inch M4 Chip 16GB RAM 256GB SSD Midnight MW1L3LL/A,Open Box,"IDR15,444,625.00",75 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
159,"2025 Acer Nitro V Gaming Laptop 16"" 180Hz RTX 5050 Ryzen 5 240 16GB RAM 512GB",Brand New,"IDR12,135,418.75",30 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
160,"Apple MacBook Pro 14"" Apple M4 chip 16GB RAM 512GB SSD Space Black MW2U3LL/A",Open Box,"IDR18,756,325.00",474 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
161,"New ListingASUS ROG G74S 17.3"" i7-2630QM Nvidia GTX 560M 16GB Ballistix RAM NO HDD, AS-IS",Parts Only,"IDR2,077,293.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
162,New ListingDELL LATITUDE 14 RUGGED 5414 Intel i5  TOUCHSCREEN 16GB 250GB SSD BAT EXC 202696,Pre-Owned,"IDR4,305,875.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
163,"Cyber Special - Dell Latitude 7430 Laptop -Core i7-1265U 16GB 512GB SSD - 14""",Very Good - Refurbished,"IDR4,759,737.50",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
164,"2025 SGIN Laptop 17.3 inch, Intel N5095, Up to 12GB RAM &512GB SSD",Brand New,"IDR3,324,667.50 to IDR4,820,917.50",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
165,"Dell Latitude 5510 15.6"" 256GB i5-10310U WIN11P, Silver",Very Good - Refurbished,"IDR3,807,125.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
166,Lenovo N23 Touchscreen Chromebook Intel 1.60 GHz 4GB Ram 16GB with Charger,Pre-Owned,"IDR581,708.75",89 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
167,New ListingDELL PRECISION 7750 FHD Xeon W-10885M 64GB RAM 512GB SSD RTX 3000 Backlit KB,Pre-Owned,"IDR8,977,500.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
168,Lenovo Ideapad Pro 5 - OLED - 120hz - 16IAH10 Ultra 9 285H Rtx5050 32GB 1TB SSD,Open Box,"IDR18,286,668.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
169,"2020 Apple M1 MacBook Air 13.3"" 16GB/512GB SSD - (Space Gray) A2337 w/Warranty",Good - Refurbished,"IDR7,700,533.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
170,Lenovo Legion 5 15.1  OLED WQXGA 165Hz Gaming Notebook Intel Core Ultra 9 275HX,Brand New,"IDR24,438,583.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
171,"Lenovo LOQ 15.6"" FHD Gaming Laptop i5-13450HX 16GB RAM RTX 5050 512GB SSD Grey",Open Box,"IDR12,285,875.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
172,"Lenovo Ideapad 5x 14"" OLED 2-in-1 Touch Snapdragon X Plus 16GB 1TB SSD w/ Pen",Open Box,"IDR8,279,250.00",58 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
173,"MSI Crosshair 18 HX AI A2XWGKG-012US 18"" Gaming Laptop QHD U9-275HX 5070 1TB",Certified - Refurbished,"IDR20,516,081.25",71 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
174,"Lenovo LOQ-E 15.6"" 144Hz Gaming Laptop i5-12450HX 16GB RAM 512GB SSD RTX 3050",Brand New,"IDR8,977,333.75","8,140 sold",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
175,"Lenovo ThinkPad T14s Gen 6 14"" WUXGA Snapdragon X Elite 32GB 1TB SSD FPReader",Certified - Refurbished,"IDR13,715,625.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
176,"HP ELITEBOOK 840 G6 14"" Intel Core i5-8365U 1.60GHz 16GB RAM 256GB NVMe",Pre-Owned,"IDR2,402,146.25",Only 1 left!,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
177,New ListingDELL LATITUDE 14 RUGGED 5414 Intel i5  TOUCHSCREEN 16GB 250GB SSD BAT EXC 202603,Pre-Owned,"IDR4,305,875.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
178,"2024 Apple M4 Max MacBook 16.2"" 36GB/1TB SSD (Silver) 5X2V3LL/A w/Year Warranty",Excellent - Refurbished,"IDR39,234,833.75",15 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
179,"New ListingHP Laptop 17-CN0108DS 17"" Pentium Gold 7505@2.0GHz 12GB RAM 256GB SSD Open Box",Open Box,"IDR3,324,833.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
180,"Apple MacBook Pro 14"" 2021 M1 Pro 1TB 16GB RAM Space Gray - Excellent",Excellent - Refurbished,"IDR13,233,333.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
181,New ListingLot of 5 Mixed HP Envy/Elitebook i5/i7 7th Gen 8/16GB RAM 256/No SSD No OS,Pre-Owned,"IDR7,646,668.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
182,"2020 MacBook Pro A2338 13"" M1 8-Core CPU 3.2GHz 8-Core GPU 16GB RAM 256GB SSD",Good - Refurbished,"IDR7,481,083.75",39 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
183,Apple MacBook Pro A2485 M1 Pro Chip 32GB/1TB - Cosmetic (Read Description),Pre-Owned,"IDR13,216,708.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
184,Dell Latitude 5330 13.3” Business Laptop Core i5 16GB RAM 128GB SSD Windows 11,Good - Refurbished,"IDR3,981,022.50",366 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
185,Dell Latitude 14” Full HD Laptop PC Core i7 4.9GHz 16GB RAM 512GB SSD Windows 11,Good - Refurbished,"IDR4,758,906.25",Only 3 left,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
186,Shop on eBay,,$479.99,,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
187,Shop on eBay,,$479.99,,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
188,Dell Latitude 7410 Business Laptop 14” Core i5 16GB RAM 512GB SSD Windows 11 Pro,Good - Refurbished,"IDR4,006,292.50",353 sold,https://i.ebayimg.com/thumbs/images/g/tqQAAeSwc3VpAvIu/s-l960.webp
189,Apple MacBook Air 13 inch Laptop - Intel Core i7 - 8GB RAM - 256GB SSD - BUNDLE,Pre-Owned,"IDR4,239,375.00",,https://i.ebayimg.com/thumbs/images/g/~xYAAeSwHtppLdHW/s-l960.webp
190,"HP ELITEBOOK 840 G6 14"" Intel Core i5-8365U 1.60GHz 16GB RAM 256GB NVMe",Pre-Owned,"IDR2,493,583.75",Only 1 left!,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
191,DELL Latitude Touchscreen Laptop: Intel i7 32GB RAM ~ 512GB SSD! Windows 11 Pro!,Pre-Owned,"IDR6,068,125.00",23 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
192,"New ListingApple MacBook Pro A2141 16"" i9-9880H 16 GB RAM 1 TB SSD 5500M Sequoia 97 Cycles",Pre-Owned,"IDR5,486,083.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
193,"HP OmniBook 7 Laptop Computer 16"" 2K Touch Screen Intel Core Ultra 5 16 GB",Brand New,"IDR9,143,583.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
194,"Dell Dc15250 15.6"" Touch 13th Gen Intel® Core™ i7-1355U, 10 cores 1 TB SSD 16 GB",Brand New,"IDR12,468,583.75",849 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
195,"Apple MacBook Air 15"" M4 chip 16GB RAM 256GB SSD Sky Blue MC7A4LL/A 2025 Model",Open Box,"IDR14,131,083.75",325 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
196,"HP Elitebook 830 G8 13.3"" FHD TS Laptop Intel i7-1185G7 3GHz 32GB 512GB W11P",Excellent - Refurbished,"IDR6,109,521.25",410 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
197,"Apple MacBook Pro 16"" Apple M4 Pro chip 24GB RAM 512GB SSD Space Black MX2X3LL/A",Open Box,"IDR29,908,375.00",Only 1 left!,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
198,"Apple MacBook Pro A2141 16"" i7-9750H 2.6GHz 16GB/512GB Radeon Pro 5300M - Tahoe",Good - Refurbished,"IDR5,402,958.75",83 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
199,New ListingASUS ROG M16 GU604VI Laptop - i9 - 16GB - No Drives - Parts 116,Parts Only,"IDR7,464,625.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
200,Microsoft Surface Pro Copilot+ PC Touchscreen 13  LCD Snapdragon X Plus 16GB RAM,Brand New,"IDR12,468,583.75",58 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
201,"Dell Latitude 5431 14"" 256GB i5-1250P WIN11P, Silver",Good - Refurbished,"IDR3,444,700.00",13 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
202,"Dell Latitude 5320 13.3"" 512GB I7-1185G7 WIN11P, Gray",Good - Refurbished,"IDR4,505,375.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
203,"Dell Latitude 14 3420 14"" 512GB i5-1145G7 WIN11P, Gray",Good - Refurbished,"IDR3,308,375.00",37 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
204,New ListingDELL LATITUDE 14 RUGGED 5414 Intel i5  TOUCHSCREEN 16GB 250GB SSD BAT EXC 203141,Pre-Owned,"IDR4,305,875.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
205,New ListingHP 840 G8 Laptops (i7-1185G7 3GHz CPU 32GB RAM) (Read the Description)),Parts Only,"IDR3,336,471.25",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
206,"New ListingDell Precision 7750 17.3"" | 2.70GHz i7-10850H | 16GB DDR4 | 512GB | BIOS Lock",Pre-Owned,"IDR4,488,583.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
207,"Lenovo LOQ-E 15.6"" 144Hz RTX 3050 Intel i5-12450HX 16GB RAM 512GB SSD AI Laptop",Brand New,"IDR8,644,833.75",214 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
208,"2021 Apple M1 Pro MacBook Pro 16.2"" 16GB/512GB SSD 90%+ (Gray) A2485 w/Warranty",Very Good - Refurbished,"IDR12,239,158.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
209,"Apple MacBook Pro18.1 - 16-Inch M1 Pro 3.20GHz,32GB RAM,512GB SSD 10 CPU / 16GPU",Good - Refurbished,"IDR13,283,375.00",88 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
210,"Asus Vivobook S14 S5406SA 14"" WUXGA OLED Intel Ultra 7 258V 32GB 1TB W11H Laptop",Certified - Refurbished,"IDR11,537,750.00",82 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
211,"Microsoft Surface Pro 8 13"" QHD 120 Hz Touch i7-1185G7 16GB 512GB Keyboard + Pen",Pre-Owned,"IDR9,974,833.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
212,"Lenovo LOQ Essential 15.6"" FHD 144Hz Gaming Laptop i5-12450HX RTX 4050 8GB 512GB",Brand New,"IDR9,807,918.75",Only 1 left!,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
213,"New ListingLenovo ThinkPad X1 Carbon Gen 8 14""FHD i7-10510U 1.8GHz 16GB  512 SSD,charger",Pre-Owned,"IDR4,472,125.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
214,New ListingDell Latitude 5550 Laptop -Core i5 Ultra 5 125u 16GB 512GB-Webcam-Dell Wty 1/28,Pre-Owned,"IDR7,630,875.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
215,"2024 Apple M4 Max MacBook Pro 16.2"" 36GB/1TB (Black) 5X303LL/A w/Year Warranty",Excellent - Refurbished,"IDR40,076,058.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
216,2025 SGIN Laptop Notebook 17.3 Intel Processor Up to 4GB RAM 128GB SSD,Brand New,"IDR3,308,208.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
217,New ListingDell Latitude 5520 Laptop - 11th Gen i5-1145G7 16GB 512GB Cam Backlit Touch Sp16,Pre-Owned,"IDR3,308,375.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
218,"New ListingDell Latitude 5440 Used 14"" i7-1370P, 32GB RAM, 512GB NVMe",Pre-Owned,"IDR8,146,083.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
219,"Dell Latitude Laptop Intel Core i3 14"" HD 8GB RAM 256GB SSD Windows 11",Good - Refurbished,"IDR2,977,703.75",425 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
220,"Dell Precision 7560 Laptop - Xeon W-11955m 2.6ghz 64GB 1TB - RTX A4000 15.6"" FHD",Pre-Owned,"IDR11,620,875.00",Only 2 left,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
221,"ORIGIN PC EON17-X 17.3"" 144Hz i9-11900K 2.50GHz 16GB RAM 1TB SSD RTX 3080",Open Box,"IDR14,546,875.00",20 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
222,"HP Victus by HP Laptop Computer 15.6"" FHD Intel Core i5 16 GB memory;1 TB SSD",Brand New,"IDR10,806,083.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
223,New ListingProStar Gaming Laptop N130WU,Parts Only,"IDR4,239,375.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
224,Lenovo Thinkpad T14 G2 i7-1185G7 3GHZ/32GB RAM/512GB NVMe,Pre-Owned,"IDR5,818,583.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
