,Unnamed: 0,nama,brand,harga,terjual,gambar
113,113,"14"" DELL Latitude Laptop: Intel i5! 4GB RAM! 128GB SSD! Zorin Core Edition!",Good - Refurbished,166067125,2,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
114,114,"New ListingApple MacBook Pro 15.4"" Intel Core i7 2.6GHz 16GB RAM 512GB SSD A1990",Pre-Owned,330837500,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
115,115,"HP OmniBook X Laptop Computer 16"" 3K Touch Screen Intel Core Ultra 7 16 GB",Brand New,1496233375,51,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
116,116,"2025 ASUS Vivobook 14"" FHD Laptop, 6-Core Intel i3 Up to 40GB RAM 2TB SSD WinPro",Brand New,497087500,18,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
117,117,Acer Swift 14 +AI | AMD Ryzen AI 9 | AMD Radeon 880M | 32GB 1TB Certified Refurb,Certified - Refurbished,1099843500,72,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
118,118,"Lenovo - LOQ 15.6"" Full HD Gaming Laptop - Intel Core i7-13650HX 2023 - 16GB ...",Brand New,2161233375,433,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
119,119,MacBook Pro 16 Touch Bar Gray 2019 2.4 GHz i9 64GB 512GB Radeon Pro 5300M 4GB,Very Good - Refurbished,781358375,15,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
120,120,LENOVO THINKPAD P70 17” i7 6700HQ 2.6GHz 32GB RAM 1TB+256GB NVIDIA Quadro M600M,Pre-Owned,430587500,1,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
121,121,"New ListingLenovo Legion Go 8.8"" Laptop AMD Ryzen Z1 Extreme, 500GB SSD, 1TB Ssd W/ Dock",Open Box,831250000,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
122,122,Dell Latitude E6420 XFR Core i7 CPU 500GB SSD 16GB RAM WIN10 BLUE with CARBON,Pre-Owned,738881500,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
123,123,"HP ZBOOK 15 G6 15.5"" Intel Core i7-9850H 2.60GHz 32GB RAM 512GB NVMe",Pre-Owned,415608375,1,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
126,126,DELL Latitude Touchscreen Laptop: Intel i7 32GB RAM ~ 512GB SSD! Windows 11 Pro!,Good - Refurbished,581875000,24,https://i.ebayimg.com/thumbs/images/g/iIkAAeSwgIdpLbyO/s-l960.webp
127,127,"Dell Latitude 5520 15.6"", 16GB 512GB SSD, i7-1185G7 4.4GHz, Windows 11 Pro",Very Good - Refurbished,610137500,50,https://i.ebayimg.com/thumbs/images/g/1AEAAeSwt81oh5v1/s-l960.webp
128,128,"Dell Latitude 3390 Touchscreen Laptop 13.3"" Core i3 8GB RAM 256GB SSD Win 11 Pro",Good - Refurbished,296822750,2,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
129,129,Lenovo ThinkPad T480 Business Laptop 14” FHD Core i5 16GB RAM 512GB SSD Win 11,Good - Refurbished,396123875,331,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
130,130,"Asus Touch Chromebook Flip 14"" i3 1.80GHz/8GB/128GB SSD - CX5400FM w/Warranty",Very Good - Refurbished,232733375,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
